timestamp_ms,series_id,value
1700000000000,instance-0000,0.253907
1700000001000,instance-0000,0.253996
1700000002000,instance-0000,0.254101
1700000003000,instance-0000,0.254220
1700000004000,instance-0000,0.254356
1700000005000,instance-0000,0.254508
1700000006000,instance-0000,0.254678
1700000007000,instance-0000,0.254864
1700000008000,instance-0000,0.255068
1700000009000,instance-0000,0.255291
1700000010000,instance-0000,0.255532
1700000011000,instance-0000,0.255792
1700000012000,instance-0000,0.256072
1700000013000,instance-0000,0.256371
1700000014000,instance-0000,0.256691
1700000015000,instance-0000,0.257032
1700000016000,instance-0000,0.257394
1700000017000,instance-0000,0.257777
1700000018000,instance-0000,1.200000
1700000019000,instance-0000,0.258609
1700000020000,instance-0000,0.259059
1700000021000,instance-0000,0.259532
1700000022000,instance-0000,0.260028
1700000023000,instance-0000,0.260547
1700000024000,instance-0000,0.261090
1700000025000,instance-0000,0.261658
1700000026000,instance-0000,0.262250
1700000027000,instance-0000,0.262866
1700000028000,instance-0000,0.263508
1700000029000,instance-0000,0.264175
1700000030000,instance-0000,0.264867
1700000031000,instance-0000,0.265585
1700000032000,instance-0000,0.266329
1700000033000,instance-0000,0.267099
1700000034000,instance-0000,0.267896
1700000035000,instance-0000,0.268719
1700000036000,instance-0000,0.269568
1700000037000,instance-0000,0.270444
1700000038000,instance-0000,0.271347
1700000039000,instance-0000,0.272277
1700000040000,instance-0000,0.273234
1700000041000,instance-0000,0.274219
1700000042000,instance-0000,0.275230
1700000043000,instance-0000,0.276269
1700000044000,instance-0000,0.277335
1700000045000,instance-0000,0.278428
1700000046000,instance-0000,0.279549
1700000047000,instance-0000,0.280696
1700000048000,instance-0000,0.281871
1700000049000,instance-0000,0.283074
1700000050000,instance-0000,0.284303
1700000051000,instance-0000,0.285559
1700000052000,instance-0000,0.286842
1700000053000,instance-0000,0.288152
1700000054000,instance-0000,0.289488
1700000055000,instance-0000,0.290851
1700000056000,instance-0000,0.292240
1700000057000,instance-0000,0.293656
1700000058000,instance-0000,0.295097
1700000059000,instance-0000,0.296563
1700000060000,instance-0000,0.298055
1700000061000,instance-0000,0.299572
1700000062000,instance-0000,0.301114
1700000063000,instance-0000,0.302680
1700000064000,instance-0000,0.304270
1700000065000,instance-0000,0.305885
1700000066000,instance-0000,0.307522
1700000067000,instance-0000,0.309183
1700000068000,instance-0000,0.310866
1700000069000,instance-0000,0.312571
1700000070000,instance-0000,0.314299
1700000071000,instance-0000,0.316047
1700000072000,instance-0000,0.317817
1700000073000,instance-0000,0.319606
1700000074000,instance-0000,0.321416
1700000075000,instance-0000,0.323245
1700000076000,instance-0000,0.325093
1700000077000,instance-0000,0.326959
1700000078000,instance-0000,0.328843
1700000079000,instance-0000,0.330744
1700000080000,instance-0000,0.332662
1700000081000,instance-0000,0.334595
1700000082000,instance-0000,0.336544
1700000083000,instance-0000,0.338507
1700000084000,instance-0000,0.340484
1700000085000,instance-0000,0.342475
1700000086000,instance-0000,0.344478
1700000087000,instance-0000,0.346493
1700000088000,instance-0000,0.348520
1700000089000,instance-0000,0.350556
1700000090000,instance-0000,0.352603
1700000091000,instance-0000,0.354658
1700000092000,instance-0000,0.356722
1700000093000,instance-0000,0.358793
1700000094000,instance-0000,0.360871
1700000095000,instance-0000,0.362955
1700000096000,instance-0000,0.365044
1700000097000,instance-0000,0.367137
1700000098000,instance-0000,0.369233
1700000099000,instance-0000,0.371333
1700000100000,instance-0000,0.373433
1700000101000,instance-0000,0.375535
1700000102000,instance-0000,0.377637
1700000103000,instance-0000,0.379738
1700000104000,instance-0000,0.381838
1700000105000,instance-0000,0.383935
1700000106000,instance-0000,0.386028
1700000107000,instance-0000,0.388117
1700000108000,instance-0000,0.390201
1700000109000,instance-0000,0.392279
1700000110000,instance-0000,0.394351
1700000111000,instance-0000,0.396414
1700000112000,instance-0000,0.398468
1700000113000,instance-0000,0.400513
1700000114000,instance-0000,0.402547
1700000115000,instance-0000,0.404570
1700000116000,instance-0000,0.406581
1700000117000,instance-0000,0.408578
1700000118000,instance-0000,0.410561
1700000119000,instance-0000,0.412529
1700000120000,instance-0000,0.414482
1700000121000,instance-0000,1.171130
1700000122000,instance-0000,0.418335
1700000123000,instance-0000,0.420234
1700000124000,instance-0000,0.422114
1700000125000,instance-0000,0.423973
1700000126000,instance-0000,0.425811
1700000127000,instance-0000,0.427627
1700000128000,instance-0000,0.429420
1700000129000,instance-0000,0.431190
1700000130000,instance-0000,0.432934
1700000131000,instance-0000,0.434654
1700000132000,instance-0000,0.436347
1700000133000,instance-0000,0.438013
1700000134000,instance-0000,0.439651
1700000135000,instance-0000,0.441260
1700000136000,instance-0000,0.442840
1700000137000,instance-0000,0.444390
1700000138000,instance-0000,0.445909
1700000139000,instance-0000,0.447396
1700000140000,instance-0000,0.448850
1700000141000,instance-0000,0.450271
1700000142000,instance-0000,0.451659
1700000143000,instance-0000,0.453012
1700000144000,instance-0000,0.454329
1700000145000,instance-0000,0.455611
1700000146000,instance-0000,0.456856
1700000147000,instance-0000,0.458063
1700000148000,instance-0000,0.459233
1700000149000,instance-0000,0.460365
1700000150000,instance-0000,0.461457
1700000151000,instance-0000,0.462510
1700000152000,instance-0000,0.463522
1700000153000,instance-0000,0.464494
1700000154000,instance-0000,0.465425
1700000155000,instance-0000,0.466314
1700000156000,instance-0000,0.467161
1700000157000,instance-0000,0.467965
1700000158000,instance-0000,0.468726
1700000159000,instance-0000,0.469444
1700000160000,instance-0000,0.470118
1700000161000,instance-0000,0.470747
1700000162000,instance-0000,0.471332
1700000163000,instance-0000,0.471872
1700000164000,instance-0000,0.472367
1700000165000,instance-0000,0.472816
1700000166000,instance-0000,0.473219
1700000167000,instance-0000,0.473576
1700000168000,instance-0000,0.473887
1700000169000,instance-0000,0.474152
1700000170000,instance-0000,0.474369
1700000171000,instance-0000,0.474540
1700000172000,instance-0000,0.474664
1700000173000,instance-0000,0.474741
1700000174000,instance-0000,0.474770
1700000175000,instance-0000,0.474752
1700000176000,instance-0000,0.474687
1700000177000,instance-0000,0.474574
1700000178000,instance-0000,0.474414
1700000179000,instance-0000,0.474207
1700000180000,instance-0000,0.473952
1700000181000,instance-0000,0.473651
1700000182000,instance-0000,0.473301
1700000183000,instance-0000,0.472905
1700000184000,instance-0000,0.472462
1700000185000,instance-0000,0.471972
1700000186000,instance-0000,0.471435
1700000187000,instance-0000,0.470852
1700000188000,instance-0000,0.470223
1700000189000,instance-0000,0.469548
1700000190000,instance-0000,0.468826
1700000191000,instance-0000,0.468060
1700000192000,instance-0000,0.467248
1700000193000,instance-0000,0.466392
1700000194000,instance-0000,0.465490
1700000195000,instance-0000,0.464545
1700000196000,instance-0000,0.463556
1700000197000,instance-0000,0.462524
1700000198000,instance-0000,0.461448
1700000199000,instance-0000,0.460330
1700000200000,instance-0000,0.459170
1700000201000,instance-0000,0.457969
1700000202000,instance-0000,0.456726
1700000203000,instance-0000,0.455443
1700000204000,instance-0000,0.454119
1700000205000,instance-0000,0.452756
1700000206000,instance-0000,0.451355
1700000207000,instance-0000,0.449914
1700000208000,instance-0000,0.448436
1700000209000,instance-0000,0.446921
1700000210000,instance-0000,0.445369
1700000211000,instance-0000,0.443782
1700000212000,instance-0000,0.442159
1700000213000,instance-0000,0.440502
1700000214000,instance-0000,0.438810
1700000215000,instance-0000,0.437086
1700000216000,instance-0000,0.435329
1700000217000,instance-0000,0.433540
1700000218000,instance-0000,0.431720
1700000219000,instance-0000,0.429870
1700000220000,instance-0000,0.427990
1700000221000,instance-0000,0.426082
1700000222000,instance-0000,0.424145
1700000223000,instance-0000,0.422182
1700000224000,instance-0000,0.420192
1700000225000,instance-0000,0.418176
1700000226000,instance-0000,0.416136
1700000227000,instance-0000,0.414071
1700000228000,instance-0000,0.411984
1700000229000,instance-0000,0.409874
1700000230000,instance-0000,0.407742
1700000231000,instance-0000,0.405590
1700000232000,instance-0000,0.403418
1700000233000,instance-0000,0.401228
1700000234000,instance-0000,0.399019
1700000235000,instance-0000,0.396792
1700000236000,instance-0000,0.394550
1700000237000,instance-0000,0.392292
1700000238000,instance-0000,0.390019
1700000239000,instance-0000,0.387733
1700000240000,instance-0000,0.385434
1700000241000,instance-0000,0.383122
1700000242000,instance-0000,0.380800
1700000243000,instance-0000,0.378467
1700000244000,instance-0000,0.376125
1700000245000,instance-0000,0.373774
1700000246000,instance-0000,0.371416
1700000247000,instance-0000,0.369050
1700000248000,instance-0000,0.366679
1700000249000,instance-0000,0.364303
1700000250000,instance-0000,0.361922
1700000251000,instance-0000,0.359538
1700000252000,instance-0000,0.357152
1700000253000,instance-0000,0.354763
1700000254000,instance-0000,0.352374
1700000255000,instance-0000,0.349985
1700000256000,instance-0000,0.347596
1700000257000,instance-0000,0.345209
1700000258000,instance-0000,0.342825
1700000259000,instance-0000,0.340443
1700000260000,instance-0000,0.338066
1700000261000,instance-0000,0.335693
1700000262000,instance-0000,0.333326
1700000263000,instance-0000,0.330964
1700000264000,instance-0000,0.328610
1700000265000,instance-0000,0.326264
1700000266000,instance-0000,1.200000
1700000267000,instance-0000,0.321598
1700000268000,instance-0000,0.319279
1700000269000,instance-0000,0.316971
1700000270000,instance-0000,0.314674
1700000271000,instance-0000,0.312390
1700000272000,instance-0000,0.310117
1700000273000,instance-0000,0.307859
1700000274000,instance-0000,0.305614
1700000275000,instance-0000,0.303383
1700000276000,instance-0000,0.301168
1700000277000,instance-0000,0.298969
1700000278000,instance-0000,0.296786
1700000279000,instance-0000,0.294620
1700000280000,instance-0000,0.292471
1700000281000,instance-0000,0.290341
1700000282000,instance-0000,0.288229
1700000283000,instance-0000,0.286136
1700000284000,instance-0000,0.284063
1700000285000,instance-0000,1.200000
1700000286000,instance-0000,0.279977
1700000287000,instance-0000,0.277965
1700000288000,instance-0000,0.275975
1700000289000,instance-0000,0.274007
1700000290000,instance-0000,0.272061
1700000291000,instance-0000,0.270138
1700000292000,instance-0000,1.200000
1700000293000,instance-0000,0.266361
1700000294000,instance-0000,0.264508
1700000295000,instance-0000,0.262679
1700000296000,instance-0000,0.260874
1700000297000,instance-0000,0.259095
1700000298000,instance-0000,0.257340
1700000299000,instance-0000,0.255611
1700000300000,instance-0000,0.253907
1700000301000,instance-0000,0.252229
1700000302000,instance-0000,0.250578
1700000303000,instance-0000,0.248952
1700000304000,instance-0000,0.247353
1700000305000,instance-0000,0.245781
1700000306000,instance-0000,0.244235
1700000307000,instance-0000,0.242717
1700000308000,instance-0000,0.241225
1700000309000,instance-0000,0.239761
1700000310000,instance-0000,0.238325
1700000311000,instance-0000,0.236915
1700000312000,instance-0000,0.235534
1700000313000,instance-0000,0.234180
1700000314000,instance-0000,0.232853
1700000315000,instance-0000,0.231555
1700000316000,instance-0000,0.230284
1700000317000,instance-0000,0.229041
1700000318000,instance-0000,0.227826
1700000319000,instance-0000,0.226638
1700000320000,instance-0000,0.225479
1700000321000,instance-0000,0.224347
1700000322000,instance-0000,0.223242
1700000323000,instance-0000,0.222166
1700000324000,instance-0000,0.221117
1700000325000,instance-0000,0.220096
1700000326000,instance-0000,0.219101
1700000327000,instance-0000,0.218135
1700000328000,instance-0000,0.217195
1700000329000,instance-0000,0.216283
1700000330000,instance-0000,0.215397
1700000331000,instance-0000,0.214539
1700000332000,instance-0000,0.213707
1700000333000,instance-0000,0.212901
1700000334000,instance-0000,0.212122
1700000335000,instance-0000,0.211369
1700000336000,instance-0000,0.210642
1700000337000,instance-0000,0.209941
1700000338000,instance-0000,0.209266
1700000339000,instance-0000,0.208615
1700000340000,instance-0000,0.207991
1700000341000,instance-0000,0.207390
1700000342000,instance-0000,0.206815
1700000343000,instance-0000,0.206264
1700000344000,instance-0000,0.205738
1700000345000,instance-0000,0.205235
1700000346000,instance-0000,0.204756
1700000347000,instance-0000,0.204301
1700000348000,instance-0000,0.203869
1700000349000,instance-0000,0.203460
